id,empid,name,designation,password,email,mobile,performance_rate
397,EMP397,Employee397,Manager,password397,employee397@emp.com,9458784277,0
398,EMP398,Employee398,Manager,password398,employee398@emp.com,7635411050,0
399,EMP399,Employee399,DevOps,password399,employee399@emp.com,8957815161,0
400,EMP400,Employee400,SDE2,password400,employee400@emp.com,7330681261,0
401,EMP401,Employee401,Manager,password401,employee401@emp.com,9249963126,0
402,EMP402,Employee402,SDE2,password402,employee402@emp.com,9365475057,0
403,EMP403,Employee403,Lead,password403,employee403@emp.com,7614534143,0
404,EMP404,Employee404,Manager,password404,employee404@emp.com,7619070105,0
405,EMP405,Employee405,SDE1,password405,employee405@emp.com,7644192979,0
406,EMP406,Employee406,Lead,password406,employee406@emp.com,8410289252,0
407,EMP407,Employee407,SDE1,password407,employee407@emp.com,8532046207,0
408,EMP408,Employee408,QA,password408,employee408@emp.com,7772347521,0
409,EMP409,Employee409,SDE2,password409,employee409@emp.com,8512027812,0
410,EMP410,Employee410,Manager,password410,employee410@emp.com,7009057298,0
411,EMP411,Employee411,Designer,password411,employee411@emp.com,7566262660,0
412,EMP412,Employee412,SDE2,password412,employee412@emp.com,7920068929,0
413,EMP413,Employee413,DevOps,password413,employee413@emp.com,8930341477,0
414,EMP414,Employee414,Manager,password414,employee414@emp.com,8368919509,0
415,EMP415,Employee415,Lead,password415,employee415@emp.com,7605420071,0
416,EMP416,Employee416,Lead,password416,employee416@emp.com,8917087619,0
417,EMP417,Employee417,SDE1,password417,employee417@emp.com,8670829541,0
418,EMP418,Employee418,Designer,password418,employee418@emp.com,9592389174,0
419,EMP419,Employee419,Lead,password419,employee419@emp.com,8184363886,0
420,EMP420,Employee420,HR,password420,employee420@emp.com,9062153730,0
421,EMP421,Employee421,Lead,password421,employee421@emp.com,8523232901,0
422,EMP422,Employee422,HR,password422,employee422@emp.com,8877304277,0
423,EMP423,Employee423,Designer,password423,employee423@emp.com,9021804672,0
424,EMP424,Employee424,QA,password424,employee424@emp.com,7638856235,0
425,EMP425,Employee425,HR,password425,employee425@emp.com,7952132933,0
426,EMP426,Employee426,SDE2,password426,employee426@emp.com,9052595544,0
427,EMP427,Employee427,DevOps,password427,employee427@emp.com,7726924112,0
428,EMP428,Employee428,DevOps,password428,employee428@emp.com,7133885875,0
429,EMP429,Employee429,Manager,password429,employee429@emp.com,8449646445,0
430,EMP430,Employee430,Lead,password430,employee430@emp.com,8957618354,0
431,EMP431,Employee431,SDE1,password431,employee431@emp.com,8812445753,0
432,EMP432,Employee432,Manager,password432,employee432@emp.com,9183200857,0
433,EMP433,Employee433,SDE2,password433,employee433@emp.com,7197269604,0
434,EMP434,Employee434,DevOps,password434,employee434@emp.com,7025039761,0
435,EMP435,Employee435,SDE1,password435,employee435@emp.com,9648295167,0
436,EMP436,Employee436,QA,password436,employee436@emp.com,9341657731,0
437,EMP437,Employee437,SDE2,password437,employee437@emp.com,7655921854,0
438,EMP438,Employee438,SDE2,password438,employee438@emp.com,9027085178,0
439,EMP439,Employee439,HR,password439,employee439@emp.com,8672195190,0
440,EMP440,Employee440,SDE1,password440,employee440@emp.com,9317459440,0
441,EMP441,Employee441,SDE1,password441,employee441@emp.com,8248582061,0
442,EMP442,Employee442,DevOps,password442,employee442@emp.com,8069106173,0
443,EMP443,Employee443,DevOps,password443,employee443@emp.com,9963020856,0
444,EMP444,Employee444,DevOps,password444,employee444@emp.com,9415372097,0
445,EMP445,Employee445,QA,password445,employee445@emp.com,7039794294,0
446,EMP446,Employee446,SDE2,password446,employee446@emp.com,7443632497,0
447,EMP447,Employee447,Designer,password447,employee447@emp.com,8166890537,0
448,EMP448,Employee448,Lead,password448,employee448@emp.com,7089285534,0
449,EMP449,Employee449,SDE1,password449,employee449@emp.com,7990347776,0
450,EMP450,Employee450,QA,password450,employee450@emp.com,8202623089,0
451,EMP451,Employee451,Designer,password451,employee451@emp.com,9565560893,0
452,EMP452,Employee452,SDE2,password452,employee452@emp.com,7936714395,0
453,EMP453,Employee453,QA,password453,employee453@emp.com,7455879353,0
454,EMP454,Employee454,SDE2,password454,employee454@emp.com,8570836264,0
455,EMP455,Employee455,SDE1,password455,employee455@emp.com,7430311390,0
456,EMP456,Employee456,SDE1,password456,employee456@emp.com,7152930182,0
457,EMP457,Employee457,Designer,password457,employee457@emp.com,8246212923,0
458,EMP458,Employee458,Lead,password458,employee458@emp.com,8712087881,0
459,EMP459,Employee459,SDE2,password459,employee459@emp.com,9306266123,0
460,EMP460,Employee460,Manager,password460,employee460@emp.com,9879513783,0
461,EMP461,Employee461,DevOps,password461,employee461@emp.com,8357300726,0
462,EMP462,Employee462,HR,password462,employee462@emp.com,9465147505,0
463,EMP463,Employee463,QA,password463,employee463@emp.com,7515888017,0
464,EMP464,Employee464,HR,password464,employee464@emp.com,7014843677,0
465,EMP465,Employee465,DevOps,password465,employee465@emp.com,7678806091,0
466,EMP466,Employee466,SDE1,password466,employee466@emp.com,7401346282,0
467,EMP467,Employee467,SDE2,password467,employee467@emp.com,7888593703,0
468,EMP468,Employee468,Designer,password468,employee468@emp.com,8189887291,0
469,EMP469,Employee469,Designer,password469,employee469@emp.com,8489254722,0
470,EMP470,Employee470,SDE1,password470,employee470@emp.com,8672490029,0
471,EMP471,Employee471,Manager,password471,employee471@emp.com,9509954142,0
472,EMP472,Employee472,HR,password472,employee472@emp.com,9273471023,0
473,EMP473,Employee473,SDE2,password473,employee473@emp.com,9442553603,0
474,EMP474,Employee474,Lead,password474,employee474@emp.com,7579254229,0
475,EMP475,Employee475,SDE2,password475,employee475@emp.com,9875087038,0
476,EMP476,Employee476,HR,password476,employee476@emp.com,8084146358,0
477,EMP477,Employee477,HR,password477,employee477@emp.com,8782642881,0
478,EMP478,Employee478,QA,password478,employee478@emp.com,8797680169,0
479,EMP479,Employee479,QA,password479,employee479@emp.com,7040971436,0
480,EMP480,Employee480,Lead,password480,employee480@emp.com,8012515126,0
481,EMP481,Employee481,Designer,password481,employee481@emp.com,8396236978,0
482,EMP482,Employee482,SDE1,password482,employee482@emp.com,8150413001,0
483,EMP483,Employee483,Designer,password483,employee483@emp.com,9808755267,0
484,EMP484,Employee484,HR,password484,employee484@emp.com,9034825379,0
485,EMP485,Employee485,DevOps,password485,employee485@emp.com,8637580562,0
486,EMP486,Employee486,SDE2,password486,employee486@emp.com,7595558490,0
487,EMP487,Employee487,SDE1,password487,employee487@emp.com,8322185130,0
488,EMP488,Employee488,Designer,password488,employee488@emp.com,9400539173,0
489,EMP489,Employee489,Designer,password489,employee489@emp.com,8540894868,0
490,EMP490,Employee490,SDE1,password490,employee490@emp.com,7506987898,0
491,EMP491,Employee491,SDE1,password491,employee491@emp.com,7435651819,0
492,EMP492,Employee492,HR,password492,employee492@emp.com,9794467777,0
493,EMP493,Employee493,SDE1,password493,employee493@emp.com,9346661859,0
494,EMP494,Employee494,Manager,password494,employee494@emp.com,8966339773,0
495,EMP495,Employee495,SDE2,password495,employee495@emp.com,8661505009,0
496,EMP496,Employee496,QA,password496,employee496@emp.com,8037849835,0
497,EMP497,Employee497,Manager,password497,employee497@emp.com,7514742671,0
498,EMP498,Employee498,HR,password498,employee498@emp.com,8867459709,0
499,EMP499,Employee499,Lead,password499,employee499@emp.com,8069526389,0
500,EMP500,Employee500,DevOps,password500,employee500@emp.com,8956036839,0
